city;area;rooms;bathroom;parking spaces;floor;animal;furniture;hoa (R$);property tax (R$);fire insurance (R$);rent amount (R$)
São Paulo;280;3;1;2;-;acept;not furnished;0;113;91;6000
Campinas;93;2;3;2;9;acept;not furnished;663;133;70;5500
Porto Alegre;75;3;2;1;9;acept;not furnished;340;109;27;1800
São Paulo;194;3;4;3;-;acept;not furnished;0;70;61;4000
São Paulo;41;1;1;1;6;acept;furnished;523;131;51;4000
Rio de Janeiro;65;1;1;1;8;acept;furnished;2000;250;66;5100
São Paulo;70;2;1;1;13;acept;not furnished;761;67;28;2150
São Paulo;278;4;5;2;16;acept;furnished;4052;1261;115;9000
Rio de Janeiro;35;1;1;0;5;acept;not furnished;306;21;20;1521
Campinas;300;4;4;3;2;acept;not furnished;2300;417;77;6000
São Paulo;61;2;1;1;4;acept;not furnished;459;0;24;1850
Rio de Janeiro;130;3;2;1;7;acept;not furnished;1660;475;22;1700
Rio de Janeiro;80;2;1;1;20;acept;not furnished;500;90;12;900
São Paulo;164;4;4;2;6;not acept;not furnished;2159;386;64;5000
Belo Horizonte;220;4;2;3;3;acept;not furnished;450;125;33;2422
São Paulo;45;1;1;0;-;acept;not furnished;0;46;16;1050
São Paulo;108;3;2;2;7;acept;not furnished;1290;435;71;5600
Belo Horizonte;128;1;1;0;4;acept;furnished;418;182;28;2100
Rio de Janeiro;60;1;1;0;10;not acept;not furnished;450;48;24;1800
São Paulo;250;4;5;4;6;acept;not furnished;2050;998;125;9800
Porto Alegre;47;1;1;1;1;not acept;furnished;400;0;33;2200
Belo Horizonte;170;4;3;4;9;not acept;not furnished;744;296;36;2700
São Paulo;45;1;1;0;1;not acept;not furnished;300;0;16;1240
São Paulo;42;1;1;1;15;acept;not furnished;686;123;45;3500
São Paulo;164;4;4;3;1;acept;not furnished;1840;550;77;6000
São Paulo;70;3;1;1;1;acept;not furnished;700;200;13;1020
Porto Alegre;100;4;3;1;8;acept;not furnished;600;159;33;2200
São Paulo;64;2;2;2;4;acept;furnished;1300;440;58;4500
Belo Horizonte;68;2;1;1;3;acept;not furnished;320;27;16;1200
Belo Horizonte;75;2;2;2;14;not acept;not furnished;620;264;34;2500
São Paulo;600;4;4;4;9;acept;not furnished;7400;3368;108;8500
São Paulo;63;2;2;0;15;not acept;not furnished;590;152;20;1550
São Paulo;145;3;4;3;1;not acept;not furnished;1200;750;77;6000
São Paulo;85;2;2;2;3;not acept;not furnished;1500;292;36;2800
São Paulo;254;4;4;4;7;acept;not furnished;3366;1800;115;9000
Porto Alegre;350;4;4;4;-;acept;furnished;1;359;160;9000
São Paulo;300;4;4;3;-;acept;not furnished;0;584;53;3500
Belo Horizonte;296;4;3;2;-;acept;not furnished;0;423;222;13500
São Paulo;64;2;2;2;8;acept;not furnished;450;30;36;2800
São Paulo;133;3;2;0;6;acept;not furnished;813;38;38;2957
Campinas;44;1;1;0;7;acept;not furnished;350;12;7;550
Campinas;240;3;4;2;-;acept;not furnished;0;250;46;3000
Porto Alegre;70;3;2;1;4;acept;not furnished;490;8;37;2500
São Paulo;22;1;1;0;26;acept;not furnished;302;45;26;2050
Porto Alegre;50;1;1;1;1;acept;not furnished;350;50;14;950
Porto Alegre;67;3;2;2;4;acept;not furnished;600;50;33;2200
São Paulo;31;1;1;0;6;acept;furnished;430;0;30;2300
Rio de Janeiro;90;2;1;1;1;acept;furnished;850;191;45;3468
Rio de Janeiro;109;3;3;1;1;acept;not furnished;2000;300;49;3800
Belo Horizonte;400;4;2;2;-;not acept;not furnished;0;74;41;2500
São Paulo;300;4;5;4;-;acept;furnished;0;1167;211;14000
Campinas;284;4;3;3;4;acept;not furnished;2340;483;77;6000
Porto Alegre;70;2;1;1;3;acept;furnished;360;30;36;2400
Rio de Janeiro;309;4;5;4;7;acept;not furnished;2661;682;84;6500
São Paulo;70;2;1;0;-;acept;not furnished;0;134;32;2100
São Paulo;360;3;4;1;10;acept;not furnished;2300;584;127;10000
São Paulo;30;1;1;1;10;not acept;not furnished;886;0;20;1500
Campinas;80;2;2;2;11;acept;not furnished;832;171;28;2200
Belo Horizonte;133;4;4;3;6;not acept;not furnished;1500;800;94;7000
São Paulo;38;1;1;1;14;not acept;furnished;1620;279;36;2800
São Paulo;73;2;2;1;7;acept;not furnished;1100;100;45;3500
São Paulo;155;3;4;2;4;acept;not furnished;1500;150;26;2000
São Paulo;63;2;2;1;15;acept;not furnished;357;50;41;3200
São Paulo;58;2;1;1;1;acept;not furnished;0;0;18;1400
São Paulo;48;1;1;0;9;not acept;furnished;377;0;44;3450
São Paulo;210;3;4;3;7;acept;not furnished;1700;834;36;2790
Belo Horizonte;100;3;2;2;2;acept;not furnished;340;183;22;1600
São Paulo;94;3;2;2;1;acept;not furnished;1337;140;46;3570
São Paulo;94;3;3;2;3;acept;furnished;1220;395;64;5010
São Paulo;76;3;1;1;4;acept;not furnished;1200;267;32;2500
São Paulo;192;3;3;2;13;acept;not furnished;2100;634;99;7800
São Paulo;217;3;4;3;1;acept;not furnished;2884;0;83;6500
São Paulo;68;2;1;1;5;acept;not furnished;610;35;18;1400
São Paulo;110;3;2;2;2;acept;not furnished;1145;247;31;2400
Belo Horizonte;95;2;2;1;3;acept;not furnished;660;164;22;1600
São Paulo;900;4;6;8;-;acept;not furnished;0;4417;226;15000
São Paulo;34;1;1;0;5;not acept;not furnished;347;45;16;1200
São Paulo;192;3;4;3;5;acept;not furnished;2000;0;102;8000
Porto Alegre;62;2;2;1;9;acept;not furnished;350;75;27;1800
São Paulo;180;3;3;4;-;acept;not furnished;0;184;56;3700
Campinas;44;1;1;0;3;acept;furnished;350;12;12;916
Belo Horizonte;100;2;1;1;1;not acept;not furnished;250;116;23;1700
Rio de Janeiro;140;3;3;1;24;not acept;not furnished;900;100;18;1370
São Paulo;170;3;3;3;8;acept;furnished;1570;648;36;2800
São Paulo;100;3;2;2;-;not acept;not furnished;0;150;25;1600
São Paulo;75;3;2;2;4;acept;not furnished;652;82;21;1600
Rio de Janeiro;52;2;1;0;2;acept;not furnished;200;43;16;1200
Campinas;999;5;7;8;-;acept;not furnished;0;667;211;14000
São Paulo;270;4;4;4;8;acept;not furnished;2200;1500;89;7000
Belo Horizonte;50;2;1;1;1;acept;not furnished;160;60;13;930
Campinas;200;3;3;2;-;acept;not furnished;650;184;34;2210
São Paulo;71;2;2;0;16;acept;not furnished;430;100;25;1920
São Paulo;500;5;4;6;-;acept;not furnished;0;250;196;13000
São Paulo;60;2;1;0;-;acept;not furnished;0;94;17;1080
São Paulo;110;2;1;0;8;acept;not furnished;1100;84;17;1300
São Paulo;210;3;3;4;-;acept;not furnished;0;276;50;3294
São Paulo;220;3;4;3;8;acept;not furnished;2021;996;77;6000
Belo Horizonte;200;3;2;5;-;not acept;not furnished;0;204;66;4000
São Paulo;130;3;4;3;2;acept;not furnished;2300;502;54;4250
São Paulo;65;2;2;2;7;acept;furnished;1037;245;51;4000
São Paulo;96;3;2;2;17;acept;not furnished;804;250;41;3200
São Paulo;660;4;5;5;12;acept;furnished;4800;1750;254;20000
Rio de Janeiro;107;3;2;0;7;acept;furnished;1460;270;42;3200
Rio de Janeiro;105;3;2;0;1;acept;not furnished;740;9;29;2200
Rio de Janeiro;100;3;2;0;7;acept;not furnished;900;109;43;3290
São Paulo;287;3;4;4;-;acept;furnished;0;430;136;9000
Campinas;24;1;1;0;1;not acept;furnished;230;9;15;1180
São Paulo;22;1;1;0;-;not acept;not furnished;0;0;15;976
São Paulo;70;1;1;1;-;not acept;not furnished;0;142;39;2529
Porto Alegre;44;1;1;1;2;acept;furnished;250;17;22;1500
São Paulo;150;3;2;2;-;not acept;not furnished;0;0;38;2500
São Paulo;90;1;2;2;9;acept;furnished;998;220;37;2900
São Paulo;200;4;4;2;8;acept;furnished;3000;830;36;2800
São Paulo;320;8;4;0;-;acept;not furnished;450;350;158;10500
Porto Alegre;90;2;1;1;2;not acept;not furnished;550;110;25;1700
São Paulo;240;4;4;3;9;acept;not furnished;2500;834;28;2144
São Paulo;154;4;3;3;21;acept;not furnished;1684;1020;89;7000
São Paulo;60;2;2;2;2;acept;not furnished;2340;284;41;3230
Campinas;101;3;2;0;5;acept;not furnished;780;91;31;2380
Porto Alegre;140;3;4;2;-;not acept;not furnished;0;0;55;3090
São Paulo;500;4;5;8;-;acept;not furnished;0;1850;226;15000
São Paulo;110;3;3;3;4;acept;not furnished;1195;687;30;2350
São Paulo;110;3;3;2;-;acept;not furnished;0;50;73;4800
Belo Horizonte;90;2;2;2;3;acept;not furnished;200;84;27;2000
São Paulo;384;4;6;4;3;not acept;furnished;3500;344;191;15000
São Paulo;57;2;1;1;7;acept;not furnished;570;67;20;1500
São Paulo;160;3;3;2;5;acept;furnished;1650;419;20;1500
São Paulo;39;1;1;0;8;acept;not furnished;330;19;16;1250
Campinas;78;1;2;1;4;acept;not furnished;0;143;30;2290
Porto Alegre;36;1;1;1;-;acept;not furnished;0;15;14;762
Campinas;70;2;1;1;1;acept;not furnished;558;0;16;1200
Belo Horizonte;45;1;1;1;4;not acept;furnished;300;0;43;3200
São Paulo;200;3;4;3;1;acept;not furnished;3500;1250;108;8500
São Paulo;100;3;3;3;-;acept;not furnished;0;120;65;4300
São Paulo;42;1;1;1;14;not acept;not furnished;0;0;64;5000
São Paulo;280;4;4;1;1;acept;furnished;3000;292;102;8000
São Paulo;28;1;1;1;13;not acept;furnished;615;42;36;2800
São Paulo;30;1;1;0;-;not acept;furnished;296;30;24;1826
Belo Horizonte;85;3;2;1;1;acept;not furnished;337;88;20;1500
Campinas;83;1;1;1;4;not acept;not furnished;500;59;14;1080
Campinas;85;3;2;2;16;acept;furnished;550;150;42;3300
Belo Horizonte;90;3;2;2;3;acept;not furnished;325;105;22;1600
Belo Horizonte;50;2;1;0;5;acept;not furnished;0;100;12;900
Rio de Janeiro;50;1;1;0;8;acept;not furnished;600;134;38;2900
Belo Horizonte;300;3;2;3;-;not acept;not furnished;0;539;110;6700
Porto Alegre;39;1;1;0;7;acept;not furnished;350;27;13;850
São Paulo;750;4;4;6;-;acept;not furnished;0;2084;226;15000
Porto Alegre;60;2;1;0;1;acept;not furnished;222;46;17;1100
Rio de Janeiro;68;2;1;0;4;not acept;not furnished;750;9;17;1250
São Paulo;70;2;1;1;-;acept;not furnished;230;50;16;1250
São Paulo;90;2;2;1;6;acept;furnished;900;89;83;6500
Rio de Janeiro;258;5;6;0;-;acept;not furnished;0;670;133;8700
São Paulo;200;2;2;6;-;acept;not furnished;0;292;68;4500
São Paulo;123;2;2;2;6;acept;not furnished;1800;625;38;2990
São Paulo;127;3;2;2;-;acept;furnished;220;67;33;2150
Belo Horizonte;180;4;2;2;-;acept;not furnished;0;210;30;1800
São Paulo;110;3;2;0;-;not acept;not furnished;0;384;44;2900
Rio de Janeiro;70;2;2;1;7;acept;furnished;585;77;23;1719
São Paulo;35;1;1;1;8;acept;furnished;720;130;39;3000
São Paulo;219;3;2;2;-;acept;not furnished;0;150;44;2900
Rio de Janeiro;25;1;1;0;-;acept;not furnished;50;0;10;700
Rio de Janeiro;170;4;5;0;10;acept;not furnished;1200;639;92;7100
Rio de Janeiro;45;1;1;0;8;acept;not furnished;900;98;21;1570
Belo Horizonte;420;4;4;2;-;not acept;not furnished;0;200;115;7000
Porto Alegre;46;1;1;0;4;acept;not furnished;0;48;16;1040
São Paulo;145;3;3;2;1;acept;furnished;1088;250;74;5800
Belo Horizonte;59;2;2;1;2;acept;not furnished;190;59;15;1100
Belo Horizonte;225;4;3;0;8;acept;not furnished;1850;466;100;7500
São Paulo;210;4;4;3;3;acept;not furnished;2270;1110;60;4675
Porto Alegre;76;1;1;0;-;acept;not furnished;209;52;19;1249
São Paulo;220;3;4;3;2;not acept;not furnished;2500;1250;66;5150
São Paulo;109;3;2;2;7;acept;not furnished;1746;134;32;2500
Belo Horizonte;95;2;1;1;3;acept;not furnished;646;120;14;1000
São Paulo;32;1;1;0;-;not acept;not furnished;280;50;20;1500
São Paulo;480;4;6;5;9;acept;not furnished;6660;3063;191;15000
São Paulo;53;1;1;1;3;acept;not furnished;694;200;56;4390
São Paulo;40;1;1;0;-;not acept;not furnished;0;17;12;780
São Paulo;50;1;1;1;4;acept;furnished;500;100;41;3223
São Paulo;60;1;1;0;-;acept;not furnished;0;255;20;1300
Porto Alegre;64;2;2;2;7;not acept;not furnished;450;50;22;1500
Rio de Janeiro;140;3;3;2;4;acept;furnished;2280;535;155;12000
São Paulo;121;3;3;1;12;acept;not furnished;800;334;26;2040
Campinas;43;1;1;1;4;acept;furnished;498;84;27;2100
São Paulo;20;1;1;1;3;not acept;furnished;1700;0;18;1360
Campinas;58;2;1;1;3;acept;not furnished;289;11;13;950
Belo Horizonte;570;5;6;7;-;acept;furnished;0;873;137;8330
São Paulo;88;2;1;1;2;acept;not furnished;980;0;36;2790
São Paulo;89;3;2;2;19;acept;not furnished;900;184;77;6000
Porto Alegre;47;1;1;1;1;not acept;furnished;400;0;33;2200
São Paulo;40;1;1;0;-;acept;not furnished;0;50;17;1100
Rio de Janeiro;40;1;1;0;1;acept;furnished;386;91;26;1950
Rio de Janeiro;60;1;2;1;3;acept;not furnished;400;80;10;750
São Paulo;25;1;1;0;14;acept;not furnished;257;0;21;1650
Porto Alegre;50;2;1;0;13;acept;not furnished;340;30;17;1130
Porto Alegre;90;3;1;0;1;acept;not furnished;145;55;17;1130
São Paulo;173;3;3;3;2;acept;not furnished;3000;825;26;2000
Campinas;91;3;2;2;12;acept;not furnished;700;175;29;2250
São Paulo;90;3;2;2;6;not acept;not furnished;1710;109;16;1200
São Paulo;530;5;6;4;2;acept;furnished;8300;5000;191;15000
Belo Horizonte;155;1;4;0;4;not acept;not furnished;1117000;64;38;2790
São Paulo;40;1;1;0;-;not acept;not furnished;0;0;17;1300
São Paulo;296;4;5;3;3;acept;not furnished;0;0;191;15000
São Paulo;87;3;2;1;17;acept;not furnished;850;200;18;1400
São Paulo;300;3;3;5;-;acept;not furnished;0;584;76;5000
São Paulo;136;3;3;3;13;acept;not furnished;1430;364;54;4206
São Paulo;52;2;1;0;4;acept;not furnished;0;0;17;1340
Porto Alegre;94;2;2;2;8;acept;not furnished;600;230;43;2900
Rio de Janeiro;300;4;5;3;7;acept;not furnished;3850;750;165;12750
Rio de Janeiro;100;3;3;1;3;acept;not furnished;850;100;42;3229
São Paulo;500;4;6;3;-;acept;not furnished;6466;2536;110;7300
São Paulo;240;3;4;3;3;acept;furnished;3600;1000;63;4950
Belo Horizonte;308;2;3;3;-;acept;not furnished;0;171;33;2000
São Paulo;350;4;5;4;15;acept;furnished;2700;1334;59;4590
São Paulo;75;2;2;0;2;acept;not furnished;570;0;19;1450
São Paulo;155;3;2;3;4;acept;furnished;2600;667;149;11700
São Paulo;260;3;5;4;12;acept;not furnished;2227;1468;77;6000
São Paulo;80;2;2;1;-;not acept;not furnished;0;184;23;1500
Rio de Janeiro;85;3;1;1;6;acept;not furnished;810;87;26;1998
São Paulo;120;2;2;2;22;not acept;furnished;1400;375;45;3500
São Paulo;100;2;2;1;-;acept;not furnished;0;0;30;1970
São Paulo;240;4;5;4;6;not acept;not furnished;1869;717;45;3500
São Paulo;360;7;6;6;-;acept;not furnished;0;245;80;5270
São Paulo;42;1;1;0;-;not acept;not furnished;0;0;17;1100
São Paulo;33;1;1;1;14;acept;furnished;600;112;36;2800
Rio de Janeiro;48;1;1;0;1;not acept;not furnished;626;53;14;1020
Rio de Janeiro;36;1;1;0;5;acept;not furnished;350;42;15;1130
São Paulo;270;6;3;6;-;acept;not furnished;0;417;68;4500
Campinas;75;2;1;1;2;acept;not furnished;670;121;16;1200
Rio de Janeiro;46;2;1;0;3;not acept;not furnished;270;0;21;1600
São Paulo;350;3;3;3;-;not acept;not furnished;0;1292;151;10000
Porto Alegre;131;3;3;1;10;acept;furnished;1625;121;26;1750
Campinas;90;3;2;1;3;acept;not furnished;920;129;17;1300
Rio de Janeiro;26;1;1;0;4;not acept;not furnished;390;120;22;1650
Rio de Janeiro;44;1;1;0;3;acept;furnished;400;14;15;1100
São Paulo;70;2;2;0;-;acept;not furnished;0;0;29;1880
Belo Horizonte;40;1;1;0;-;not acept;not furnished;0;0;15;900
Belo Horizonte;320;4;2;4;-;acept;not furnished;0;206;53;3200
São Paulo;213;2;2;3;-;acept;not furnished;0;0;78;5150
São Paulo;80;2;1;0;1;not acept;not furnished;0;0;14;1100
Campinas;70;1;1;0;6;acept;not furnished;500;30;11;800
Rio de Janeiro;60;2;1;1;5;acept;not furnished;690;25;20;1500
São Paulo;270;4;4;4;5;acept;not furnished;4500;1834;163;12850
Rio de Janeiro;70;2;1;1;3;acept;not furnished;800;44;17;1300
Porto Alegre;300;6;2;2;-;acept;not furnished;0;242;107;6000
São Paulo;220;4;5;3;14;acept;furnished;2050;750;153;12000
Porto Alegre;64;2;2;2;7;acept;not furnished;450;34;24;1600
Rio de Janeiro;80;3;3;1;7;not acept;not furnished;1100;0;19;1470
São Paulo;56;1;1;0;9;acept;furnished;625;81;32;2500
São Paulo;161;4;3;2;1;acept;not furnished;1450;467;127;10000
São Paulo;35;1;1;0;-;acept;not furnished;350;0;18;1350
São Paulo;720;4;6;5;-;acept;furnished;0;2613;192;12750
São Paulo;280;4;5;4;6;not acept;not furnished;2500;750;41;3200
Porto Alegre;96;3;2;0;2;acept;not furnished;408;84;31;2100
Campinas;236;3;4;4;10;acept;not furnished;1600;440;140;11000
São Paulo;81;3;2;1;4;acept;not furnished;204;0;20;1510
São Paulo;62;2;1;1;1;acept;not furnished;580;92;21;1650
Belo Horizonte;125;3;2;0;2;acept;not furnished;150;69;16;1200
São Paulo;37;1;1;1;6;acept;furnished;890;110;53;4150
São Paulo;60;2;2;1;11;acept;not furnished;1680;200;51;4000
São Paulo;230;4;2;3;1;acept;not furnished;3600;1551;64;5000
São Paulo;210;4;5;2;1;acept;furnished;3800;0;108;8500
São Paulo;450;4;3;8;-;acept;not furnished;0;175;211;14000
São Paulo;234;3;5;4;-;acept;furnished;0;400;56;3680
Belo Horizonte;135;4;3;2;2;not acept;not furnished;868;308;33;2450
São Paulo;395;4;5;3;-;acept;not furnished;0;122;91;6000
Porto Alegre;92;2;2;1;2;acept;not furnished;450;67;25;1700
São Paulo;412;3;5;6;21;acept;not furnished;2000;459;51;3952
São Paulo;42;1;1;1;27;acept;not furnished;560;100;68;5300
São Paulo;33;1;1;0;12;not acept;furnished;385;125;39;3000
Porto Alegre;28;2;1;1;-;acept;not furnished;0;0;11;600
São Paulo;190;4;4;2;-;not acept;not furnished;0;223;67;4450
São Paulo;165;4;3;3;10;acept;furnished;2440;1292;80;6300
Porto Alegre;44;1;1;0;5;acept;not furnished;355;20;18;1200
São Paulo;60;2;1;1;4;acept;not furnished;603;109;17;1275
São Paulo;380;3;3;2;1;acept;not furnished;3580;1084;140;11000
Rio de Janeiro;73;2;1;0;4;acept;not furnished;375;120;11;830
Belo Horizonte;19;1;1;0;5;acept;not furnished;620;85;15;1100
Campinas;230;3;5;4;6;acept;not furnished;1800;0;96;7500
Porto Alegre;37;1;1;1;2;acept;not furnished;500;0;37;2500
São Paulo;124;3;2;3;7;acept;not furnished;1450;300;84;6600
Rio de Janeiro;115;3;2;1;8;acept;furnished;1090;114;35;2680
Campinas;600;3;3;4;-;acept;not furnished;0;384;83;5500
Rio de Janeiro;700;5;5;4;-;acept;furnished;1380;1667;229;15000
Porto Alegre;35;1;1;0;1;acept;not furnished;100;17;12;815
Belo Horizonte;15;1;1;0;3;not acept;furnished;0;0;15;1100
Campinas;80;3;2;1;2;acept;not furnished;570;125;19;1450
Porto Alegre;48;1;1;0;4;acept;not furnished;200;38;11;700
Belo Horizonte;96;3;2;1;2;acept;not furnished;922;137;20;1500
São Paulo;150;3;2;1;7;acept;furnished;1843;340;86;6715
Belo Horizonte;105;3;2;2;2;not acept;not furnished;1681;390;44;3300
Belo Horizonte;204;4;4;4;22;not acept;furnished;2701;760;134;10000
Rio de Janeiro;125;3;1;2;11;acept;not furnished;1317;170;33;2600
Rio de Janeiro;50;2;1;0;3;not acept;not furnished;490;50;30;2300
São Paulo;250;3;4;3;-;not acept;not furnished;0;234;57;3740
São Paulo;300;3;4;3;7;acept;furnished;3000;1250;26;2000
São Paulo;80;2;1;1;-;acept;not furnished;0;55;23;1500
Rio de Janeiro;130;3;4;1;2;not acept;not furnished;1200;334;19;1400
São Paulo;120;2;3;0;2;acept;not furnished;904;195;42;3300
São Paulo;540;3;3;4;9;acept;not furnished;6200;3500;191;15000
São Paulo;23;1;1;0;23;acept;not furnished;392;41;27;2100
São Paulo;15;1;1;0;-;not acept;furnished;0;0;32;2500
São Paulo;72;1;2;2;19;acept;not furnished;900;200;51;4000
Rio de Janeiro;95;3;2;2;7;acept;not furnished;985;122;30;2300
São Paulo;330;4;5;4;13;acept;not furnished;2870;1119;127;10000
São Paulo;75;2;2;2;7;not acept;furnished;1600;400;84;6600
São Paulo;53;1;1;1;4;acept;not furnished;690;200;56;4398
São Paulo;178;3;2;1;2;not acept;not furnished;1200;180;25;1900
São Paulo;150;3;2;0;-;acept;not furnished;0;24;61;4000
São Paulo;50;2;1;1;4;acept;not furnished;520;30;16;1200
São Paulo;150;3;2;1;-;not acept;not furnished;0;59;38;2500
Porto Alegre;25;1;1;0;-;acept;furnished;286;11;15;984
São Paulo;210;3;4;4;13;not acept;not furnished;3150;1155;153;12000
Belo Horizonte;75;3;2;1;4;acept;not furnished;600;75;20;1500
Belo Horizonte;200;2;4;3;12;acept;not furnished;1897;827;200;15000
São Paulo;350;4;4;0;-;acept;not furnished;0;989;121;8000
Porto Alegre;49;2;1;1;7;acept;not furnished;360;30;17;1150
Porto Alegre;40;1;1;0;4;not acept;furnished;0;0;30;2000
São Paulo;45;1;1;1;2;not acept;furnished;1900;350;54;4200
São Paulo;46;1;1;1;8;not acept;furnished;900;118;97;7600
São Paulo;80;2;2;2;15;acept;not furnished;2000;0;140;11000
São Paulo;30;1;1;0;3;acept;furnished;400;0;37;2850
São Paulo;80;2;2;2;-;acept;not furnished;50;173;34;2200
Rio de Janeiro;105;2;2;1;10;acept;not furnished;1780;134;20;1530
Belo Horizonte;105;3;2;2;7;acept;not furnished;1170;219;27;2000
São Paulo;114;3;1;0;-;acept;not furnished;0;150;39;2570
São Paulo;200;3;3;4;-;acept;not furnished;0;425;106;7000
Porto Alegre;120;3;3;2;5;acept;not furnished;800;167;44;3000
São Paulo;60;2;2;1;11;acept;not furnished;647;21;51;4000
São Paulo;90;2;1;1;1;acept;not furnished;1000;50;39;3000
Rio de Janeiro;53;2;1;0;3;not acept;not furnished;535;50;24;1800
São Paulo;80;2;2;5;-;acept;not furnished;0;59;46;3000
Campinas;87;4;2;2;4;acept;not furnished;784;106;21;1600
Rio de Janeiro;110;3;1;1;1;acept;not furnished;557;188;65;5000
Belo Horizonte;113;4;2;1;3;acept;not furnished;1587;429;54;4000
São Paulo;170;3;2;2;5;not acept;not furnished;2199;423;64;5000
São Paulo;150;3;2;0;1;not acept;not furnished;700;42;39;3000
Porto Alegre;60;2;2;1;11;acept;not furnished;469;51;22;1500
Porto Alegre;43;1;1;0;4;not acept;furnished;290;66;31;2100
São Paulo;130;3;2;2;4;acept;furnished;800;0;45;3500
São Paulo;69;3;2;0;7;acept;furnished;650;185;25;1900
Campinas;306;3;2;2;-;acept;not furnished;0;422;38;2500
São Paulo;187;3;2;3;-;acept;not furnished;500;193;53;3500
São Paulo;385;3;4;3;-;acept;not furnished;0;1500;136;9000
São Paulo;355;4;4;3;-;acept;not furnished;0;660;110;7300
Porto Alegre;90;2;1;1;2;acept;not furnished;405;380;17;1100
São Paulo;190;3;4;4;-;acept;not furnished;0;275;76;5000
Campinas;181;2;1;2;-;acept;not furnished;0;132;22;1400
São Paulo;350;3;5;4;13;acept;not furnished;4000;1750;45;3490
